61621,30608,37293,9606,2715852,9515,9595,379532,9601,9555,1868482,9541,39432,9598,34880,34884,9669,29073,9643,9627,9713,286419,9708,32536,9646,9678
A0A2K6JN30,A0A8B7EH15,A0A2K5BW46,A0A087WYP8,A0A2K5PA89,A0A6J3ES29,A0A2I2Y394,A0A2K6EF47,A0A2J8RB20,A0A096MMV2,A0A1U7SPJ6,A0A2K5TM79,A0A2K6S063,A0A2I3RCI3,A0A811XSA7,A0A3Q7MEV0,A0A8U0MH36,A0A384BJ50,A0A452Q8L6,A0A3Q7QYD0,A0A2U3X812,A0A8C0JI01,A0A2U3VBS2,A0A6I9ZFF7,A0A7N5JA84,A0A6G1A4Q1
A0A2K6JN63,A0A8B7EHD3,A0A2K5BW87,A0A087WYX9,A0A2K5PAC6,A0A6J3ES46,A0A2I2Y3E8,A0A2K6EF60,A0A2J8RB56,A0A096MN00,A0A1U7SPU5,A0A2K5TMQ2,A0A2K6S079,A0A2I3RCJ3,A0A811XSD0,A0A3Q7MEX1,A0A8U0MH98,A0A384BJA7,A0A452Q8N2,A0A3Q7QYE3,A0A2U3X8A3,A0A8C0JI08,A0A2U3VBS8,A0A6I9ZFI4,A0A7N5JA88,A0A6G1A4Q6
A0A2K6JNG9,A0A8B7EHD8,A0A2K5BWB1,A0A087WZW2,A0A2K5PAD1,A0A6J3ES53,A0A2I2Y3J6,A0A2K6EF92,A0A2J8RBQ1,A0A096MN07,A0A1U7SPV0,A0A2K5TMQ4,A0A2K6S090,A0A2I3RCM1,A0A811XSF8,A0A3Q7MF57,A0A8U0MHQ4,A0A384BJD6,A0A452Q8P0,A0A3Q7QYG5,A0A2U3X8C4,A0A8C0JI10,A0A2U3VBV8,A0A6I9ZFS3,A0A7N5JAB2,A0A6G1A4R5
A0A2K6JNJ0,A0A8B7EKF3,A0A2K5BWB2,A0A087X021,A0A2K5PAD7,A0A6J3ES89,A0A2I2Y3J8,A0A2K6EFB4,A0A2J8RC03,A0A096MNF6,A0A1U7SQ14,A0A2K5TMU4,A0A2K6S0B2,A0A2I3RCN2,A0A811XSH1,A0A3Q7MF72,A0A8U0MHQ5,A0A384BJD8,A0A452Q8T6,A0A3Q7QYJ6,A0A2U3X8F7,A0A8C0JI20,A0A2U3VBZ8,A0A6I9ZG03,A0A7N5JAH6,A0A6G1A559
A0A2K6JNU1,A0A8B7ELK1,A0A2K5BWF1,A0A087X0F5,A0A2K5PAF3,A0A6J3ES94,A0A2I2Y3M9,A0A2K6EFC5,A0A2J8RC15,A0A096MNH5,A0A1U7SQ58,A0A2K5TN34,A0A2K6S0D4,A0A2I3RCN8,A0A811XSM3,A0A3Q7MFK5,A0A8U0MI00,A0A384BJJ3,A0A452Q931,A0A3Q7QYL8,A0A2U3X8H2,A0A8C0JI90,A0A2U3VC65,A0A6I9ZG76,A0A7N5JAI6,A0A6G1A572
A0A2K6JNY4,A0A8B7ELN3,A0A2K5BWJ9,A0A087X0V5,A0A2K5PAP0,A0A6J3ES99,A0A2I2Y3N8,A0A2K6EFG3,A0A2J8RDR4,A0A096MNK3,A0A1U7SQH6,A0A2K5TN47,A0A2K6S0F9,A0A2I3RCW9,A0A811XSR2,A0A3Q7MFV5,A0A8U0MIF0,A0A384BJZ2,A0A452Q960,A0A3Q7QZF6,A0A2U3X8H4,A0A8C0JI97,A0A2U3VC95,A0A6I9ZGM8,A0A7N5JAQ7,A0A6G1A5B4
A0A2K6JP21,A0A8B7EMD3,A0A2K5BWQ2,A0A087X1B1,A0A2K5PAR2,A0A6J3ESB0,A0A2I2Y3Y8,A0A2K6EFH7,A0A2J8RE63,A0A096MNN2,A0A1U7SQK9,A0A2K5TN48,A0A2K6S0J6,A0A2I3RCY7,A0A811XSV4,A0A3Q7MFX0,A0A8U0MII5,A0A384BK10,A0A452Q991,A0A3Q7QZL7,A0A2U3X8L0,A0A8C0JID7,A0A2U3VCF5,A0A6I9ZGY0,A0A7N5JB19,A0A6G1A5F2
A0A2K6JP65,A0A8B7EN35,A0A2K5BWW2,A0A096LP28,A0A2K5PAR5,A0A6J3ESC0,A0A2I2Y431,A0A2K6EFJ5,A0A2J8REC2,A0A096MP06,A0A1U7SQL5,A0A2K5TNB0,A0A2K6S0N9,A0A2I3RD31,A0A811XT07,A0A3Q7MFX4,A0A8U0MIQ4,A0A384BKU7,A0A452Q995,A0A3Q7QZR6,A0A2U3X8M7,A0A8C0JID8,A0A2U3VCR5,A0A6I9ZHC1,A0A7N5JB32,A0A6G1A5I0
A0A2K6JP66,A0A8B7ENG2,A0A2K5BX18,A0A096LP72,A0A2K5PAR6,A0A6J3ESN9,A0A2I2Y441,A0A2K6EFJ9,A0A2J8RFH3,A0A096MP17,A0A1U7SQP2,A0A2K5TNH0,A0A2K6S0Q2,A0A2I3RD83,A0A811XT50,A0A3Q7MFY8,A0A8U0MIS3,A0A384BL09,A0A452Q998,A0A3Q7R024,A0A2U3X8V9,A0A8C0JIH6,A0A2U3VCR9,A0A6I9ZHD2,A0A7N5JB83,A0A6G1A5K7
A0A2K6JPA4,A0A8B7ENX9,A0A2K5BXE0,A0A0A0MR22,A0A2K5PAU4,A0A6J3ESY9,A0A2I2Y4B1,A0A2K6EFK4,A0A2J8RGN8,A0A096MPG6,A0A1U7SQQ9,A0A2K5TP11,A0A2K6S0V2,A0A2I3RDF0,A0A811XT96,A0A3Q7MG19,A0A8U0MIY0,A0A384BL48,A0A452Q9B7,A0A3Q7R0A4,A0A2U3X929,A0A8C0JIL0,A0A2U3VCW3,A0A6I9ZHD8,A0A7N5JBG5,A0A6G1A5L1
A0A2K6JPM1,A0A8B7EPD8,A0A2K5BXK8,A0A0A0MRA5,A0A2K5PB52,A0A6J3ETA7,A0A2I2Y4H1,A0A2K6EFQ9,A0A2J8RGQ4,A0A096MPQ5,A0A1U7SQT4,A0A2K5TPY6,A0A2K6S101,A0A2I3RDR8,A0A811XTE8,A0A3Q7MG76,A0A8U0MJ02,A0A384BL61,A0A452Q9D1,A0A3Q7R0Q7,A0A2U3X955,A0A8C0JIQ2,A0A2U3VCW9,A0A6I9ZHE8,A0A7N5JBH7,A0A6G1A5L7
A0A2K6JPS9,A0A8B7EQ74,A0A2K5BXM7,A0A0A0MRG3,A0A2K5PB85,A0A6J3ETN0,A0A2I2Y4J7,A0A2K6EFS2,A0A2J8RGZ2,A0A096MPR1,A0A1U7SQU9,A0A2K5TPZ9,A0A2K6S163,A0A2I3RE33,A0A811XTH7,A0A3Q7MG82,A0A8U0MJ58,A0A384BL77,A0A452Q9I2,A0A3Q7R0T4,A0A2U3X957,A0A8C0JJ16,A0A2U3VCX1,A0A6I9ZHF0,A0A7N5JBM4,A0A6G1A5N6
A0A2K6JQ55,A0A8B7EQM0,A0A2K5BXS8,A0A0A0MSZ4,A0A2K5PBC1,A0A6J3ETN5,A0A2I2Y4K1,A0A2K6EFS9,A0A2J8RHW7,A0A096MPS9,A0A1U7SR23,A0A2K5TQ01,A0A2K6S1I7,A0A2I3RE64,A0A811XTU2,A0A3Q7MGD7,A0A8U0MJC3,A0A384BLJ9,A0A452Q9J4,A0A3Q7R0W0,A0A2U3X9D9,A0A8C0JJ67,A0A2U3VCY5,A0A6I9ZHG3,A0A7N5JBQ2,A0A6G1A5P1
A0A2K6JQ69,A0A8B7EQN0,A0A2K5BY15,A0A0B4J236,A0A2K5PBF3,A0A6J3ETP7,A0A2I2Y4M4,A0A2K6EG26,A0A2J8RIB0,A0A096MPU1,A0A1U7SRB4,A0A2K5TQ44,A0A2K6S1L2,A0A2I3RE96,A0A811XTV9,A0A3Q7MGF6,A0A8U0MJX7,A0A384BLK4,A0A452Q9N4,A0A3Q7R0X3,A0A2U3X9F2,A0A8C0JJH9,A0A2U3VCZ3,A0A6I9ZHL8,A0A7N5JC27,A0A6G1A5Q9
A0A2K6JQD2,A0A8B7EQZ8,A0A2K5BY19,A0A0B4J291,A0A2K5PBV0,A0A6J3ETS9,A0A2I2Y4N8,A0A2K6EG40,A0A2J8RJA6,A0A096MQ23,A0A1U7SRJ7,A0A2K5TQD1,A0A2K6S1P4,A0A2I3REC9,A0A811XTW3,A0A3Q7MH82,A0A8U0MK31,A0A384BM29,A0A452Q9Q6,A0A3Q7R1F1,A0A2U3X9G7,A0A8C0JJS0,A0A2U3VD24,A0A6I9ZHP8,A0A7N5JC66,A0A6G1A5R4
A0A2K6JQG3,A0A8B7ERF9,A0A2K5BY64,A0A0C4DFW9,A0A2K5PBV3,A0A6J3EU22,A0A2I2Y4T8,A0A2K6EG79,A0A2J8RJB8,A0A096MQ30,A0A1U7SRR9,A0A2K5TQG3,A0A2K6S1Q6,A0A2I3REI2,A0A811XU32,A0A3Q7MH90,A0A8U0MK41,A0A384BMH5,A0A452Q9U3,A0A3Q7R1I8,A0A2U3X9Q3,A0A8C0JJT0,A0A2U3VD35,A0A6I9ZHY7,A0A7N5JC94,A0A6G1A5R5
A0A2K6JQM5,A0A8B7ERZ6,A0A2K5BY93,A0A0C4DG95,A0A2K5PC17,A0A6J3EUA0,A0A2I2Y4X3,A0A2K6EG85,A0A2J8RJJ4,A0A096MQC0,A0A1U7SSH3,A0A2K5TQG5,A0A2K6S1X0,A0A2I3REQ6,A0A811XU35,A0A3Q7MHF8,A0A8U0ML36,A0A384BMY0,A0A452Q9U6,A0A3Q7R1J2,A0A2U3X9W0,A0A8C0JJU8,A0A2U3VD68,A0A6I9ZI17,A0A7N5JCB0,A0A6G1A5T5
A0A2K6JQQ2,A0A8B7EVB3,A0A2K5BYA8,A0A0C4DGH3,A0A2K5PC19,A0A6J3EUC2,A0A2I2Y501,A0A2K6EGB7,A0A2J8RK36,A0A096MR29,A0A1U7SSL4,A0A2K5TQJ7,A0A2K6S2A0,A0A2I3RER3,A0A811XU43,A0A3Q7MHX3,A0A8U0ML50,A0A384BN26,A0A452Q9Z6,A0A3Q7R248,A0A2U3XA02,A0A8C0JJY2,A0A2U3VDA3,A0A6I9ZIC3,A0A7N5JCF1,A0A6G1A5W6
A0A2K6JQV0,A0A8B7EVW3,A0A2K5BYD8,A0A0C4DGM0,A0A2K5PC61,A0A6J3EUP4,A0A2I2Y5B1,A0A2K6EGD4,A0A2J8RKB7,A0A096MR38,A0A1U7SST4,A0A2K5TQJ9,A0A2K6S2G2,A0A2I3RES9,A0A811XU49,A0A3Q7MI52,A0A8U0MLP9,A0A384BN45,A0A452QA02,A0A3Q7R2E2,A0A2U3XAH8,A0A8C0JJY5,A0A2U3VDB6,A0A6I9ZIG6,A0A7N5JCI1,A0A6G1A5X0
A0A2K6JQW1,A0A8B7EVY9,A0A2K5BYY5,A0A0C4DGP0,A0A2K5PCL9,A0A6J3EUR2,A0A2I2Y5B5,A0A2K6EGI6,A0A2J8RLP9,A0A096MRA9,A0A1U7STD2,A0A2K5TQQ1,A0A2K6S2P4,A0A2I3RET2,A0A811XUA8,A0A3Q7MI67,A0A8U0MLX5,A0A384BNA0,A0A452QA05,A0A3Q7R2N0,A0A2U3XAK6,A0A8C0JK27,A0A2U3VDC3,A0A6I9ZII0,A0A7N5JCL0,A0A6G1A5Y3
A0A2K6JQY1,A0A8B7EW73,A0A2K5BZ05,A0A0D9SF94,A0A2K5PCW9,A0A6J3EV02,A0A2I2Y5F4,A0A2K6EGU9,A0A2J8RLX0,A0A096MRB8,A0A1U7STP5,A0A2K5TQU3,A0A2K6S2Q6,A0A2I3RFR6,A0A811XUF8,A0A3Q7MIE2,A0A8U0MML4,A0A384BNL8,A0A452QA27,A0A3Q7R2Q2,A0A2U3XAR2,A0A8C0JK35,A0A2U3VDI4,A0A6I9ZIN9,A0A7N5JCP3,A0A6G1A613
A0A2K6JQZ7,A0A8B7EXB0,A0A2K5BZ09,A0A0G2JJ70,A0A2K5PCX7,A0A6J3EV35,A0A2I2Y5L9,A0A2K6EGV6,A0A2J8RMI2,A0A096MRD7,A0A1U7SU63,A0A2K5TR09,A0A2K6S338,A0A2I3RFU4,A0A811XUH1,A0A3Q7MIG5,A0A8U0MN10,A0A384BNS8,A0A452QAB4,A0A3Q7R2V8,A0A2U3XAX8,A0A8C0JK55,A0A2U3VDR5,A0A6I9ZIQ5,A0A7N5JCW1,A0A6G1A617
A0A2K6JR67,A0A8B7EXF2,A0A2K5BZ20,A0A0G2JKR3,A0A2K5PD85,A0A6J3EVA3,A0A2I2Y611,A0A2K6EGY4,A0A2J8RN85,A0A096MRH9,A0A1U7SUS1,A0A2K5TR20,A0A2K6S358,A0A2I3RG19,A0A811XUI1,A0A3Q7MIX3,A0A8U0MN13,A0A384BP30,A0A452QAB7,A0A3Q7R300,A0A2U3XB16,A0A8C0JKA3,A0A2U3VDT7,A0A6I9ZIS8,A0A7N5JCX1,A0A6G1A634
A0A2K6JRF9,A0A8B7EXV1,A0A2K5BZ43,A0A0G2JKT7,A0A2K5PDH6,A0A6J3EVH0,A0A2I2Y6B9,A0A2K6EH07,A0A2J8RP60,A0A096MS64,A0A1U7SUS4,A0A2K5TR57,A0A2K6S376,A0A2I3RGD3,A0A811XUQ4,A0A3Q7MIZ0,A0A8U0MNC0,A0A384BP73,A0A452QAC2,A0A3Q7R364,A0A2U3XB51,A0A8C0JKA6,A0A2U3VDV0,A0A6I9ZIX5,A0A7N5JCY5,A0A6G1A684
A0A2K6JRG2,A0A8B7EYI7,A0A2K5BZ77,A0A0G2JLU7,A0A2K5PDM3,A0A6J3EVN3,A0A2I2Y6P2,A0A2K6EH16,A0A2J8RPM4,A0A096MSI6,A0A1U7SV38,A0A2K5TRD0,A0A2K6S382,A0A2I3RGF5,A0A811XUT1,A0A3Q7MJ04,A0A8U0MND2,A0A384BP82,A0A452QAH7,A0A3Q7R3B9,A0A2U3XB90,A0A8C0JKD2,A0A2U3VDX9,A0A6I9ZJ03,A0A7N5JD38,A0A6G1A6C1
A0A2K6JRG4,A0A8B7EZ80,A0A2K5BZ87,A0A0G2JMH6,A0A2K5PDN2,A0A6J3EVX6,A0A2I2Y6Q1,A0A2K6EH22,A0A2J8RQ88,A0A096MSL4,A0A1U7SV46,A0A2K5TRH8,A0A2K6S386,A0A2I3RGM4,A0A811XUT8,A0A3Q7MJ21,A0A8U0MNE4,A0A384BPM5,A0A452QAI3,A0A3Q7R3C1,A0A2U3XBA1,A0A8C0JKG7,A0A2U3VE07,A0A6I9ZJ32,A0A7N5JD81,A0A6G1A6D4
A0A2K6JRJ6,A0A8B7EZI4,A0A2K5BZF9,A0A0G2JMX0,A0A2K5PDR2,A0A6J3EW71,A0A2I2Y6T8,A0A2K6EH59,A0A2J8RRB7,A0A096MSQ0,A0A1U7SV89,A0A2K5TRS8,A0A2K6S3B8,A0A2I3RGN9,A0A811XUV5,A0A3Q7MJ88,A0A8U0MNE8,A0A384BPQ1,A0A452QAM6,A0A3Q7R3R1,A0A2U3XBB5,A0A8C0JKK1,A0A2U3VE50,A0A6I9ZJ46,A0A7N5JDF2,A0A6G1A6E9
A0A2K6JRN1,A0A8B7EZJ8,A0A2K5BZH6,A0A0G2JP77,A0A2K5PDS1,A0A6J3EWF8,A0A2I2Y6V3,A0A2K6EHE8,A0A2J8RT94,A0A096MST2,A0A1U7SVR9,A0A2K5TRZ9,A0A2K6S3J7,A0A2I3RH22,A0A811XV10,A0A3Q7MJL6,A0A8U0MNE9,A0A384BPR6,A0A452QAN3,A0A3Q7R411,A0A2U3XBF5,A0A8C0JKM8,A0A2U3VE94,A0A6I9ZJ59,A0A7N5JDF3,A0A6G1A6H7
A0A2K6JRS3,A0A8B7EZR6,A0A2K5BZH9,A0A0G2JQ44,A0A2K5PDX2,A0A6J3EWG0,A0A2I2Y6Y6,A0A2K6EHV2,A0A2J8RU88,A0A096MSX0,A0A1U7SW37,A0A2K5TS54,A0A2K6S3J8,A0A2I3RHI2,A0A811XV17,A0A3Q7MJL7,A0A8U0MNF5,A0A384BQH5,A0A452QAW8,A0A3Q7R453,A0A2U3XBI4,A0A8C0JKN9,A0A2U3VEA2,A0A6I9ZJ94,A0A7N5JDG2,A0A6G1A6H8
A0A2K6JRT7,A0A8B7F2W3,A0A2K5BZT9,A0A0G2JRF5,A0A2K5PDZ8,A0A6J3EWL7,A0A2I2Y6Z2,A0A2K6EHW1,A0A2J8RUY8,A0A096MT03,A0A1U7SWA6,A0A2K5TS55,A0A2K6S3L6,A0A2I3RHI3,A0A811XV33,A0A3Q7MJR6,A0A8U0MNN7,A0A384BR21,A0A452QB42,A0A3Q7R479,A0A2U3XBL8,A0A8C0JKP9,A0A2U3VEE0,A0A6I9ZJB3,A0A7N5JDR2,A0A6G1A6K1
A0A2K6JRV1,A0A8B7F2Z5,A0A2K5BZW3,A0A0G2JRG7,A0A2K5PE15,A0A6J3EWN1,A0A2I2Y777,A0A2K6EHZ0,A0A2J8RVB7,A0A096MT51,A0A1U7SWE1,A0A2K5TSS2,A0A2K6S3M3,A0A2I3RHJ6,A0A811XVD3,A0A3Q7MJU3,A0A8U0MPC4,A0A384BR96,A0A452QB93,A0A3Q7R4A4,A0A2U3XBN7,A0A8C0JKQ0,A0A2U3VEE3,A0A6I9ZJB8,A0A7N5JDS1,A0A6G1A6N0
A0A2K6JS30,A0A8B7F3T0,A0A2K5BZY6,A0A0G2JRN9,A0A2K5PE52,A0A6J3EWQ8,A0A2I2Y7D4,A0A2K6EI14,A0A2J8RVN8,A0A096MT88,A0A1U7SWR8,A0A2K5TSY3,A0A2K6S3V8,A0A2I3RHM5,A0A811XVD6,A0A3Q7MJV3,A0A8U0MPG6,A0A384BRB9,A0A452QBD0,A0A3Q7R4F5,A0A2U3XC13,A0A8C0JL01,A0A2U3VEF2,A0A6I9ZJC9,A0A7N5JDV2,A0A6G1A6R2
A0A2K6JS63,A0A8B7F5I8,A0A2K5C000,A0A0J9YVW5,A0A2K5PE89,A0A6J3EWY5,A0A2I2Y7D5,A0A2K6EI32,A0A2J8RVX0,A0A096MTC0,A0A1U7SWV9,A0A2K5TT80,A0A2K6S467,A0A2I3RHN6,A0A811XVG7,A0A3Q7MK10,A0A8U0MPS6,A0A384BRI8,A0A452QBE0,A0A3Q7R4F6,A0A2U3XC46,A0A8C0JL48,A0A2U3VEH1,A0A6I9ZJG0,A0A7N5JDW4,A0A6G1A6U0
A0A2K6JSC1,A0A8B7F5K6,A0A2K5C022,A0A0J9YW50,A0A2K5PEC0,A0A6J3EX01,A0A2I2Y7J4,A0A2K6EI93,A0A2J8RXD0,A0A096MTF6,A0A1U7SWW8,A0A2K5TTF6,A0A2K6S474,A0A2I3RHS5,A0A811XVH7,A0A3Q7MK14,A0A8U0MPT5,A0A384BRP8,A0A452QBH3,A0A3Q7R4J2,A0A2U3XC52,A0A8C0JL51,A0A2U3VEI4,A0A6I9ZJR6,A0A7N5JE05,A0A6G1A6V2
A0A2K6JSM0,A0A8B7F5R2,A0A2K5C044,A0A0J9YYF2,A0A2K5PEC5,A0A6J3EX64,A0A2I2Y7L0,A0A2K6EIC3,A0A2J8RY68,A0A096MTJ1,A0A1U7SX18,A0A2K5TTT2,A0A2K6S492,A0A2I3RI65,A0A811XVK1,A0A3Q7MK37,A0A8U0MPV3,A0A384BRR9,A0A452QBJ2,A0A3Q7R4W2,A0A2U3XCB4,A0A8C0JL57,A0A2U3VEL9,A0A6I9ZJS1,A0A7N5JE10,A0A6G1A6W8
A0A2K6JSV2,A0A8B7F6E0,A0A2K5C0B1,A0A0R4J2F0,A0A2K5PEE6,A0A6J3EXU8,A0A2I2Y806,A0A2K6EIG4,A0A2J8RYS1,A0A096MTS8,A0A1U7SX27,A0A2K5TTV9,A0A2K6S4C9,A0A2I3RIS2,A0A811XW13,A0A3Q7MK85,A0A8U0MPZ2,A0A384BS43,A0A452QBJ5,A0A3Q7R537,A0A2U3XCC2,A0A8C0JLB8,A0A2U3VEM6,A0A6I9ZJX1,A0A7N5JE22,A0A6G1A6Y5
A0A2K6JSX3,A0A8B7F6M0,A0A2K5C0K3,A0A0R4J2F3,A0A2K5PEG5,A0A6J3EXV4,A0A2I2Y814,A0A2K6EII8,A0A2J8RZ44,A0A096MTY2,A0A1U7SX44,A0A2K5TU89,A0A2K6S4D6,A0A2I3RIU7,A0A811XW18,A0A3Q7MKT5,A0A8U0MQ16,A0A384BSR4,A0A452QBT4,A0A3Q7R582,A0A2U3XCK8,A0A8C0JLD4,A0A2U3VEN9,A0A6I9ZKC5,A0A7N5JE96,A0A6G1A741
